gridNum:5, nrmse:0.402
gridNum:3, nrmse:0.372
gridNum:18, nrmse:0.358
gridNum:6, nrmse:0.398
gridNum:1, nrmse:0.370
gridNum:23, nrmse:0.774
gridNum:22, nrmse:0.532
gridNum:2, nrmse:0.342
gridNum:25, nrmse:0.341
gridNum:13, nrmse:0.374
gridNum:28, nrmse:0.463
gridNum:14, nrmse:0.380
gridNum:7, nrmse:0.453
gridNum:0, nrmse:0.352
gridNum:4, nrmse:0.402
gridNum:12, nrmse:0.415
gridNum:16, nrmse:0.322
gridNum:20, nrmse:0.524
gridNum:27, nrmse:0.466
gridNum:26, nrmse:0.389
gridNum:29, nrmse:0.352
gridNum:15, nrmse:0.404
gridNum:8, nrmse:0.394
gridNum:32, nrmse:0.387
gridNum:30, nrmse:0.349
gridNum:35, nrmse:0.400
gridNum:24, nrmse:0.472
gridNum:37, nrmse:0.374
gridNum:17, nrmse:0.293
gridNum:38, nrmse:0.407
gridNum:33, nrmse:0.410
gridNum:11, nrmse:0.439
gridNum:31, nrmse:0.383
gridNum:46, nrmse:0.373
gridNum:39, nrmse:0.509
gridNum:36, nrmse:0.351
gridNum:9, nrmse:0.415
gridNum:10, nrmse:0.534
gridNum:42, nrmse:0.409
gridNum:21, nrmse:0.457
gridNum:44, nrmse:0.410
gridNum:55, nrmse:0.429
gridNum:50, nrmse:0.380
gridNum:60, nrmse:0.313
gridNum:56, nrmse:0.387
gridNum:65, nrmse:0.395
gridNum:58, nrmse:0.467
gridNum:66, nrmse:0.350
gridNum:62, nrmse:0.430
gridNum:41, nrmse:0.463
gridNum:72, nrmse:0.411
gridNum:69, nrmse:0.377
gridNum:57, nrmse:0.476
gridNum:68, nrmse:0.470
gridNum:54, nrmse:0.372
gridNum:63, nrmse:0.409
gridNum:61, nrmse:0.391
gridNum:74, nrmse:0.416
gridNum:48, nrmse:0.421
gridNum:45, nrmse:0.431
gridNum:76, nrmse:0.427
gridNum:70, nrmse:0.397
gridNum:71, nrmse:0.431
gridNum:47, nrmse:0.334
gridNum:81, nrmse:0.390
gridNum:49, nrmse:0.370
gridNum:73, nrmse:0.431
gridNum:80, nrmse:0.331
gridNum:85, nrmse:0.262
gridNum:84, nrmse:0.379
gridNum:67, nrmse:0.454
gridNum:87, nrmse:0.314
gridNum:89, nrmse:0.255
gridNum:77, nrmse:0.410
gridNum:19, nrmse:0.377
gridNum:92, nrmse:0.428
gridNum:102, nrmse:0.455
gridNum:93, nrmse:0.437
gridNum:86, nrmse:0.268
gridNum:78, nrmse:0.443
gridNum:75, nrmse:0.445
gridNum:94, nrmse:0.429
gridNum:95, nrmse:0.397
gridNum:64, nrmse:0.363
gridNum:105, nrmse:0.442
gridNum:96, nrmse:0.362
gridNum:79, nrmse:0.396
gridNum:99, nrmse:0.483
gridNum:106, nrmse:0.371
