gridNum:5, nrmse:0.428
gridNum:4, nrmse:0.428
gridNum:3, nrmse:0.391
gridNum:22, nrmse:0.524
gridNum:6, nrmse:0.396
gridNum:1, nrmse:0.364
gridNum:23, nrmse:0.702
gridNum:28, nrmse:0.446
gridNum:12, nrmse:0.410
gridNum:2, nrmse:0.340
gridNum:13, nrmse:0.369
gridNum:25, nrmse:0.363
gridNum:0, nrmse:0.354
gridNum:27, nrmse:0.450
gridNum:14, nrmse:0.370
gridNum:8, nrmse:0.389
gridNum:26, nrmse:0.400
gridNum:15, nrmse:0.410
gridNum:24, nrmse:0.443
gridNum:20, nrmse:0.552
gridNum:29, nrmse:0.353
gridNum:21, nrmse:0.466
gridNum:18, nrmse:0.366
gridNum:11, nrmse:0.421
gridNum:7, nrmse:0.441
gridNum:17, nrmse:0.295
gridNum:30, nrmse:0.352
gridNum:44, nrmse:0.414
gridNum:32, nrmse:0.385
gridNum:39, nrmse:0.515
gridNum:9, nrmse:0.400
gridNum:38, nrmse:0.413
gridNum:10, nrmse:0.512
gridNum:46, nrmse:0.371
gridNum:35, nrmse:0.389
gridNum:16, nrmse:0.326
gridNum:42, nrmse:0.404
gridNum:36, nrmse:0.361
gridNum:31, nrmse:0.379
gridNum:55, nrmse:0.462
gridNum:58, nrmse:0.450
gridNum:33, nrmse:0.415
gridNum:41, nrmse:0.465
gridNum:50, nrmse:0.396
gridNum:65, nrmse:0.421
gridNum:72, nrmse:0.411
gridNum:56, nrmse:0.402
gridNum:37, nrmse:0.367
gridNum:68, nrmse:0.487
gridNum:62, nrmse:0.422
gridNum:63, nrmse:0.414
gridNum:69, nrmse:0.379
gridNum:54, nrmse:0.376
gridNum:60, nrmse:0.316
gridNum:66, nrmse:0.361
gridNum:57, nrmse:0.458
gridNum:81, nrmse:0.379
gridNum:74, nrmse:0.421
gridNum:45, nrmse:0.412
gridNum:76, nrmse:0.428
gridNum:48, nrmse:0.397
gridNum:84, nrmse:0.380
gridNum:70, nrmse:0.398
gridNum:80, nrmse:0.334
gridNum:77, nrmse:0.413
gridNum:49, nrmse:0.358
gridNum:61, nrmse:0.388
gridNum:71, nrmse:0.426
gridNum:47, nrmse:0.338
gridNum:89, nrmse:0.257
gridNum:87, nrmse:0.313
gridNum:90, nrmse:0.418
gridNum:85, nrmse:0.269
gridNum:67, nrmse:0.474
gridNum:92, nrmse:0.419
gridNum:97, nrmse:0.402
gridNum:19, nrmse:0.376
gridNum:73, nrmse:0.441
gridNum:91, nrmse:0.433
gridNum:95, nrmse:0.365
gridNum:102, nrmse:0.453
gridNum:64, nrmse:0.366
gridNum:82, nrmse:0.448
gridNum:96, nrmse:0.354
gridNum:106, nrmse:0.386
gridNum:100, nrmse:0.436
gridNum:99, nrmse:0.505
gridNum:75, nrmse:0.427
gridNum:111, nrmse:0.424
gridNum:94, nrmse:0.387
gridNum:78, nrmse:0.393
gridNum:114, nrmse:0.248
gridNum:112, nrmse:0.390
gridNum:93, nrmse:0.461
gridNum:43, nrmse:0.380
gridNum:101, nrmse:0.404
gridNum:118, nrmse:0.338
gridNum:119, nrmse:0.357
gridNum:120, nrmse:0.337
gridNum:103, nrmse:0.575
gridNum:59, nrmse:0.306
gridNum:123, nrmse:0.443
gridNum:40, nrmse:0.439
gridNum:127, nrmse:0.428
gridNum:98, nrmse:0.487
gridNum:52, nrmse:0.845
gridNum:105, nrmse:0.460
gridNum:129, nrmse:0.708
gridNum:79, nrmse:0.359
gridNum:115, nrmse:0.267
gridNum:86, nrmse:0.273
gridNum:122, nrmse:0.444
gridNum:34, nrmse:0.386
gridNum:124, nrmse:0.417
gridNum:108, nrmse:0.857
gridNum:140, nrmse:0.435
gridNum:51, nrmse:0.557
gridNum:107, nrmse:0.608
gridNum:117, nrmse:0.527
gridNum:126, nrmse:0.341
gridNum:145, nrmse:0.294
gridNum:128, nrmse:0.484
gridNum:132, nrmse:0.550
gridNum:113, nrmse:0.482
gridNum:133, nrmse:0.682
gridNum:142, nrmse:0.446
gridNum:88, nrmse:0.364
gridNum:152, nrmse:0.379
gridNum:155, nrmse:0.339
gridNum:131, nrmse:0.448
gridNum:121, nrmse:0.430
gridNum:130, nrmse:0.619
gridNum:138, nrmse:0.665
gridNum:116, nrmse:1.467
gridNum:150, nrmse:0.319
gridNum:151, nrmse:0.386
gridNum:104, nrmse:0.510
gridNum:125, nrmse:0.336
gridNum:147, nrmse:0.638
gridNum:148, nrmse:0.412
gridNum:161, nrmse:0.442
gridNum:134, nrmse:0.528
gridNum:83, nrmse:0.479
gridNum:139, nrmse:0.527
gridNum:143, nrmse:0.528
gridNum:149, nrmse:0.437
gridNum:172, nrmse:0.386
gridNum:146, nrmse:0.566
gridNum:178, nrmse:0.390
gridNum:159, nrmse:0.471
gridNum:160, nrmse:0.443
gridNum:173, nrmse:0.454
gridNum:53, nrmse:0.772
gridNum:167, nrmse:0.439
gridNum:163, nrmse:0.593
gridNum:165, nrmse:0.580
gridNum:174, nrmse:0.396
gridNum:176, nrmse:0.497
gridNum:141, nrmse:0.449
gridNum:164, nrmse:0.540
gridNum:177, nrmse:0.386
gridNum:180, nrmse:0.307
gridNum:185, nrmse:0.434
gridNum:169, nrmse:0.406
gridNum:171, nrmse:0.491
gridNum:179, nrmse:16.588
gridNum:181, nrmse:0.356
gridNum:175, nrmse:0.362
gridNum:187, nrmse:0.438
gridNum:188, nrmse:0.491
gridNum:183, nrmse:0.341
gridNum:182, nrmse:0.357
gridNum:166, nrmse:0.480
gridNum:170, nrmse:0.434
gridNum:144, nrmse:0.333
gridNum:191, nrmse:0.397
gridNum:190, nrmse:0.453
gridNum:196, nrmse:0.512
gridNum:184, nrmse:0.424
gridNum:157, nrmse:0.560
gridNum:189, nrmse:0.484
gridNum:110, nrmse:0.441
gridNum:202, nrmse:0.400
gridNum:186, nrmse:0.416
gridNum:194, nrmse:0.465
gridNum:158, nrmse:0.450
gridNum:197, nrmse:0.409
gridNum:137, nrmse:0.663
gridNum:135, nrmse:0.442
gridNum:195, nrmse:0.541
gridNum:204, nrmse:0.442
gridNum:206, nrmse:0.301
gridNum:192, nrmse:0.558
gridNum:193, nrmse:0.505
gridNum:109, nrmse:0.360
gridNum:215, nrmse:0.405
gridNum:207, nrmse:0.296
gridNum:205, nrmse:0.392
gridNum:168, nrmse:0.473
gridNum:209, nrmse:0.406
gridNum:136, nrmse:0.438
gridNum:201, nrmse:0.589
gridNum:153, nrmse:0.430
gridNum:199, nrmse:0.431
gridNum:200, nrmse:0.553
gridNum:208, nrmse:0.389
gridNum:211, nrmse:0.340
gridNum:235, nrmse:0.478
gridNum:217, nrmse:0.743
gridNum:203, nrmse:0.442
gridNum:198, nrmse:0.398
gridNum:162, nrmse:0.613
gridNum:154, nrmse:0.424
gridNum:223, nrmse:0.452
gridNum:238, nrmse:0.292
gridNum:222, nrmse:0.480
gridNum:239, nrmse:0.311
gridNum:245, nrmse:0.387
gridNum:244, nrmse:0.328
gridNum:216, nrmse:0.388
gridNum:241, nrmse:0.374
gridNum:233, nrmse:0.697
gridNum:248, nrmse:0.437
gridNum:250, nrmse:0.442
gridNum:236, nrmse:0.303
gridNum:214, nrmse:0.397
gridNum:221, nrmse:0.474
gridNum:231, nrmse:0.625
gridNum:228, nrmse:0.560
gridNum:252, nrmse:0.420
gridNum:230, nrmse:0.633
gridNum:246, nrmse:0.478
gridNum:226, nrmse:0.596
