gridNum:5, nrmse:0.410
gridNum:4, nrmse:0.410
gridNum:18, nrmse:0.336
gridNum:22, nrmse:0.505
gridNum:6, nrmse:0.393
gridNum:1, nrmse:0.345
gridNum:7, nrmse:0.448
gridNum:20, nrmse:0.505
gridNum:25, nrmse:0.360
gridNum:2, nrmse:0.322
gridNum:28, nrmse:0.460
gridNum:12, nrmse:0.380
gridNum:14, nrmse:0.395
gridNum:0, nrmse:0.329
gridNum:16, nrmse:0.314
gridNum:3, nrmse:0.367
gridNum:13, nrmse:0.368
gridNum:27, nrmse:0.468
gridNum:21, nrmse:0.447
gridNum:23, nrmse:0.745
gridNum:29, nrmse:0.327
gridNum:30, nrmse:0.330
gridNum:8, nrmse:0.394
gridNum:15, nrmse:0.439
gridNum:31, nrmse:0.357
gridNum:32, nrmse:0.368
gridNum:35, nrmse:0.369
gridNum:11, nrmse:0.405
gridNum:33, nrmse:0.395
gridNum:39, nrmse:0.512
gridNum:37, nrmse:0.348
gridNum:46, nrmse:0.363
gridNum:38, nrmse:0.377
gridNum:26, nrmse:0.414
gridNum:9, nrmse:0.386
gridNum:24, nrmse:0.477
gridNum:36, nrmse:0.398
gridNum:10, nrmse:0.521
gridNum:42, nrmse:0.376
gridNum:17, nrmse:0.285
gridNum:55, nrmse:0.473
gridNum:56, nrmse:0.412
gridNum:50, nrmse:0.375
gridNum:62, nrmse:0.412
gridNum:58, nrmse:0.467
gridNum:68, nrmse:0.430
gridNum:41, nrmse:0.450
gridNum:44, nrmse:0.432
gridNum:69, nrmse:0.370
gridNum:63, nrmse:0.395
gridNum:72, nrmse:0.421
gridNum:65, nrmse:0.393
gridNum:57, nrmse:0.476
gridNum:61, nrmse:0.363
gridNum:67, nrmse:0.418
gridNum:54, nrmse:0.371
gridNum:60, nrmse:0.297
gridNum:70, nrmse:0.394
gridNum:48, nrmse:0.393
gridNum:45, nrmse:0.422
gridNum:47, nrmse:0.323
gridNum:74, nrmse:0.443
gridNum:76, nrmse:0.419
gridNum:66, nrmse:0.402
gridNum:81, nrmse:0.406
gridNum:71, nrmse:0.430
gridNum:80, nrmse:0.339
gridNum:49, nrmse:0.353
gridNum:85, nrmse:0.287
gridNum:73, nrmse:0.473
gridNum:84, nrmse:0.364
gridNum:97, nrmse:0.395
gridNum:86, nrmse:0.314
gridNum:94, nrmse:0.368
gridNum:92, nrmse:0.419
gridNum:77, nrmse:0.402
gridNum:93, nrmse:0.447
gridNum:99, nrmse:0.451
gridNum:19, nrmse:0.330
gridNum:96, nrmse:0.346
gridNum:91, nrmse:0.441
gridNum:88, nrmse:0.356
gridNum:98, nrmse:0.459
gridNum:78, nrmse:0.403
gridNum:106, nrmse:0.370
gridNum:90, nrmse:0.430
gridNum:100, nrmse:0.403
gridNum:89, nrmse:0.248
gridNum:64, nrmse:0.341
gridNum:101, nrmse:0.408
gridNum:114, nrmse:0.220
gridNum:82, nrmse:0.438
gridNum:79, nrmse:0.371
gridNum:102, nrmse:0.467
gridNum:103, nrmse:0.564
gridNum:52, nrmse:0.805
gridNum:117, nrmse:0.515
gridNum:126, nrmse:0.353
gridNum:118, nrmse:0.346
gridNum:95, nrmse:0.343
gridNum:111, nrmse:0.417
gridNum:119, nrmse:0.359
gridNum:75, nrmse:0.407
gridNum:43, nrmse:0.371
gridNum:129, nrmse:0.612
gridNum:115, nrmse:0.244
gridNum:59, nrmse:0.287
gridNum:120, nrmse:0.338
gridNum:108, nrmse:0.731
gridNum:123, nrmse:0.449
gridNum:51, nrmse:0.555
gridNum:112, nrmse:0.388
gridNum:107, nrmse:0.523
gridNum:40, nrmse:0.428
gridNum:127, nrmse:0.425
gridNum:128, nrmse:0.442
gridNum:122, nrmse:0.435
gridNum:87, nrmse:0.322
gridNum:131, nrmse:0.479
gridNum:34, nrmse:0.358
gridNum:113, nrmse:0.447
gridNum:143, nrmse:0.503
gridNum:124, nrmse:0.425
gridNum:105, nrmse:0.438
gridNum:145, nrmse:0.281
gridNum:132, nrmse:0.589
gridNum:138, nrmse:0.593
gridNum:104, nrmse:0.537
gridNum:140, nrmse:0.424
gridNum:125, nrmse:0.351
gridNum:152, nrmse:0.393
gridNum:116, nrmse:1.469
gridNum:133, nrmse:0.669
gridNum:149, nrmse:0.452
gridNum:150, nrmse:0.325
gridNum:155, nrmse:0.355
gridNum:130, nrmse:0.532
gridNum:147, nrmse:0.606
gridNum:142, nrmse:0.435
gridNum:148, nrmse:0.521
gridNum:121, nrmse:0.435
gridNum:161, nrmse:0.455
gridNum:146, nrmse:0.544
gridNum:53, nrmse:0.735
gridNum:151, nrmse:0.389
gridNum:139, nrmse:0.558
gridNum:83, nrmse:0.443
gridNum:167, nrmse:0.435
gridNum:173, nrmse:0.441
gridNum:141, nrmse:0.443
gridNum:134, nrmse:0.558
gridNum:172, nrmse:0.391
gridNum:159, nrmse:0.428
gridNum:178, nrmse:0.353
gridNum:174, nrmse:0.396
gridNum:165, nrmse:0.571
gridNum:176, nrmse:0.479
gridNum:182, nrmse:0.377
gridNum:164, nrmse:0.532
gridNum:160, nrmse:0.414
gridNum:175, nrmse:0.359
gridNum:163, nrmse:0.593
gridNum:166, nrmse:0.467
gridNum:187, nrmse:0.429
gridNum:181, nrmse:0.372
gridNum:169, nrmse:0.407
gridNum:188, nrmse:0.523
gridNum:185, nrmse:0.400
gridNum:179, nrmse:16.211
gridNum:183, nrmse:0.349
gridNum:186, nrmse:0.397
gridNum:177, nrmse:0.390
gridNum:180, nrmse:0.310
gridNum:190, nrmse:0.424i:96, step:27
gridNum:170, nrmse:0.418
gridNum:191, nrmse:0.408
gridNum:198, nrmse:0.403
gridNum:144, nrmse:0.328
gridNum:184, nrmse:0.395
gridNum:171, nrmse:0.482
gridNum:109, nrmse:0.385
gridNum:157, nrmse:0.517
gridNum:196, nrmse:0.543
gridNum:135, nrmse:0.446
gridNum:194, nrmse:0.470
gridNum:195, nrmse:0.533
gridNum:202, nrmse:0.408
gridNum:203, nrmse:0.416
gridNum:206, nrmse:0.311
gridNum:110, nrmse:0.524
gridNum:136, nrmse:0.424
gridNum:189, nrmse:0.446
gridNum:137, nrmse:0.561
gridNum:200, nrmse:0.490
gridNum:211, nrmse:0.320
