gridNum:5, nrmse:0.425
gridNum:4, nrmse:0.425
gridNum:6, nrmse:0.396
gridNum:18, nrmse:0.370
gridNum:23, nrmse:0.708
gridNum:20, nrmse:0.545
gridNum:2, nrmse:0.340
gridNum:28, nrmse:0.453
gridNum:22, nrmse:0.525
gridNum:25, nrmse:0.360
gridNum:12, nrmse:0.409
gridNum:14, nrmse:0.366
gridNum:0, nrmse:0.350
gridNum:7, nrmse:0.440
gridNum:27, nrmse:0.457
gridNum:26, nrmse:0.393
gridNum:24, nrmse:0.443
gridNum:8, nrmse:0.389
gridNum:13, nrmse:0.366
gridNum:3, nrmse:0.389
gridNum:32, nrmse:0.388
gridNum:21, nrmse:0.467
gridNum:15, nrmse:0.408
gridNum:11, nrmse:0.425
gridNum:9, nrmse:0.408
gridNum:33, nrmse:0.426
gridNum:1, nrmse:0.364
gridNum:16, nrmse:0.320
gridNum:30, nrmse:0.348
gridNum:39, nrmse:0.510
gridNum:38, nrmse:0.407
gridNum:35, nrmse:0.390
gridNum:46, nrmse:0.370
gridNum:10, nrmse:0.531
gridNum:44, nrmse:0.419
gridNum:31, nrmse:0.377
gridNum:17, nrmse:0.297
gridNum:36, nrmse:0.360
gridNum:42, nrmse:0.404
gridNum:29, nrmse:0.355
gridNum:50, nrmse:0.393
gridNum:58, nrmse:0.458
gridNum:60, nrmse:0.314
gridNum:62, nrmse:0.422
gridNum:67, nrmse:0.470
gridNum:72, nrmse:0.410
gridNum:56, nrmse:0.402
gridNum:55, nrmse:0.457
gridNum:68, nrmse:0.482
gridNum:37, nrmse:0.365
gridNum:63, nrmse:0.426
gridNum:69, nrmse:0.377
gridNum:76, nrmse:0.429
gridNum:57, nrmse:0.466
gridNum:41, nrmse:0.466
gridNum:66, nrmse:0.361
gridNum:54, nrmse:0.374
gridNum:45, nrmse:0.422
gridNum:80, nrmse:0.335
gridNum:61, nrmse:0.385
gridNum:84, nrmse:0.376
gridNum:74, nrmse:0.426
gridNum:48, nrmse:0.409
gridNum:70, nrmse:0.396
gridNum:73, nrmse:0.444
gridNum:71, nrmse:0.429
gridNum:81, nrmse:0.380
gridNum:49, nrmse:0.367
gridNum:47, nrmse:0.337
gridNum:89, nrmse:0.260
gridNum:85, nrmse:0.268
gridNum:90, nrmse:0.420
gridNum:94, nrmse:0.393
gridNum:87, nrmse:0.317
gridNum:77, nrmse:0.414
gridNum:97, nrmse:0.408
gridNum:88, nrmse:0.366
gridNum:91, nrmse:0.434
gridNum:82, nrmse:0.443
gridNum:96, nrmse:0.355
gridNum:95, nrmse:0.369
gridNum:106, nrmse:0.385
gridNum:93, nrmse:0.443
gridNum:65, nrmse:0.411
gridNum:102, nrmse:0.451
gridNum:99, nrmse:0.507
gridNum:19, nrmse:0.388
gridNum:111, nrmse:0.432
gridNum:98, nrmse:0.490
gridNum:75, nrmse:0.436
gridNum:100, nrmse:0.428
gridNum:64, nrmse:0.366
gridNum:86, nrmse:0.273
gridNum:79, nrmse:0.366
gridNum:103, nrmse:0.588
gridNum:112, nrmse:0.383
gridNum:126, nrmse:0.341
gridNum:101, nrmse:0.400
gridNum:120, nrmse:0.338
gridNum:92, nrmse:0.419
gridNum:105, nrmse:0.457
gridNum:43, nrmse:0.388
gridNum:59, nrmse:0.311
gridNum:114, nrmse:0.244
gridNum:127, nrmse:0.434
gridNum:119, nrmse:0.360
gridNum:117, nrmse:0.527
gridNum:51, nrmse:0.560
gridNum:115, nrmse:0.264
gridNum:78, nrmse:0.399
gridNum:52, nrmse:0.856
gridNum:40, nrmse:0.447
gridNum:129, nrmse:0.706
gridNum:131, nrmse:0.454
gridNum:122, nrmse:0.440
gridNum:123, nrmse:0.439
gridNum:128, nrmse:0.484
gridNum:34, nrmse:0.387
gridNum:108, nrmse:0.868
gridNum:118, nrmse:0.342
gridNum:124, nrmse:0.417
gridNum:107, nrmse:0.607
gridNum:140, nrmse:0.433
gridNum:53, nrmse:0.784
gridNum:155, nrmse:0.338
gridNum:133, nrmse:0.693
gridNum:121, nrmse:0.432
gridNum:116, nrmse:1.485
gridNum:152, nrmse:0.381
gridNum:83, nrmse:0.473
gridNum:125, nrmse:0.337
gridNum:104, nrmse:0.519
gridNum:132, nrmse:0.555
gridNum:161, nrmse:0.458
gridNum:130, nrmse:0.600
gridNum:142, nrmse:0.434
gridNum:143, nrmse:0.533
gridNum:149, nrmse:0.442
gridNum:151, nrmse:0.385
gridNum:139, nrmse:0.519
gridNum:167, nrmse:0.443
gridNum:146, nrmse:0.559
gridNum:147, nrmse:0.634
gridNum:134, nrmse:0.536
gridNum:138, nrmse:0.666
gridNum:148, nrmse:0.423
